set,number,name,subtitle,count,type,aspects,traits,arenas,cost,power,hp,fronttext,backtext,epicaction,doublesided,backart,frontart,rarity,marketprice,karabast_number
sor,059,2-1B Surgical Droid,,1,Unit,['Vigilance'],['DROID'],['Ground'],1,1,3,On Attack: You may heal 2 damage from another unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/059.png,Common,0.09,059
sor,118,97th Legion,Keeping the Peace on Sullust,1,Unit,['Command'],"['IMPERIAL', 'TROOPER']",['Ground'],7,0,0,This unit gets +1/+1 for each resource you control.,,,False,,https://cdn.swu-db.com/images/cards/SOR/118.png,Uncommon,0.17,118
sor,039,AT-AT Suppressor,,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'VEHICLE', 'WALKER']",['Ground'],8,8,8,When Played: Exhaust all ground units.,,,False,,https://cdn.swu-db.com/images/cards/SOR/039.png,Uncommon,0.13,039
sor,232,AT-ST,,1,Unit,['Villainy'],"['IMPERIAL', 'VEHICLE', 'WALKER']",['Ground'],6,6,7,"Overwhelm (When attacking an enemy unit, deal excess damage to the opponent's base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/232.png,Common,0.07,232
sor,037,Academy Defense Walker,,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'VEHICLE', 'WALKER']",['Ground'],6,5,5,SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.) |When Played: Give an Experience token to each friendly damaged unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/037.png,Common,0.07,037
sor,120,Academy Training,,1,Upgrade,['Command'],['LEARNED'],,2,2,2,,,,False,,https://cdn.swu-db.com/images/cards/SOR/120.png,Common,0.07,120
sor,029,Administrator's Tower,Cloud City,1,Base,['Cunning'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/029.png,Common,0.09,029
sor,097,Admiral Ackbar,Brilliant Strategist,1,Unit,"['Command', 'Heroism']","['REBEL', 'OFFICIAL']",['Ground'],3,1,4,"Restore 1 (When this unit attacks, heal 1 damage from your base.)|When Played: You may deal damage to a unit equal to the number of units you control in its arena.",,,False,,https://cdn.swu-db.com/images/cards/SOR/097.png,Rare,1.67,097
sor,129,Admiral Ozzel,Overconfident,1,Unit,"['Aggression', 'Villainy']","['IMPERIAL', 'OFFICIAL']",['Ground'],2,2,3,Action [{exhaust}]: Play an IMPERIAL unit from your hand (paying its cost). It enters play ready. Each opponent may ready a unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/129.png,Uncommon,0.07,129
sor,079,Admiral Piett,Captain of the Executor,1,Unit,"['Command', 'Villainy']","['IMPERIAL', 'OFFICIAL']",['Ground'],2,1,4,"Each friendly non-leader unit that costs 6 or more gains AMBUSH. (After you play that unit, it may ready and attack an enemy unit.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/079.png,Uncommon,0.11,079
sor,115,Agent Kallus,Seeking the Rebels,1,Unit,['Command'],"['IMPERIAL', 'TROOPER']",['Ground'],5,4,4,"AMBUSH (After you play this unit, he may ready and attack an enemy unit.)|When another unique unit is defeated: You may draw a card. Use this ability only once each round.",,,False,,https://cdn.swu-db.com/images/cards/SOR/115.png,Rare,0.39,115
sor,155,Aggression,,1,Event,"['Aggression', 'Aggression']",['INNATE'],,4,,,"Choose two, in any order:|Draw a card.|Defeat up to 2 upgrades.|Ready a unit with 3 or less power.|Deal 4 damage to a unit.",,,False,,https://cdn.swu-db.com/images/cards/SOR/155.png,Legendary,13.98,155
sor,093,Alliance Dispatcher,,1,Unit,"['Command', 'Heroism']",['REBEL'],['Ground'],1,1,2,Action [{exhaust}]: Play a unit from your hand. It costs 1 less.,,,False,,https://cdn.swu-db.com/images/cards/SOR/093.png,Common,0.11,093
sor,237,Alliance X-Wing,,1,Unit,['Heroism'],"['REBEL', 'VEHICLE', 'FIGHTER']",['Space'],2,2,3,,,,False,,https://cdn.swu-db.com/images/cards/SOR/237.png,Common,0.09,237
sor,161,Ardent Sympathizer,,1,Unit,['Aggression'],['TROOPER'],['Ground'],3,3,3,"While you have the initiative, this unit gets +2/+0.",,,False,,https://cdn.swu-db.com/images/cards/SOR/161.png,Common,0.04,161
sor,218,Asteroid Sanctuary,,1,Event,['Cunning'],['TRICK'],,2,,,Exhaust an enemy unit.|Give a Shield token to a friendly unit that costs 3 or less.,,,False,,https://cdn.swu-db.com/images/cards/SOR/218.png,Common,0.09,218
sor,106,Attack Pattern Delta,,1,Event,"['Command', 'Command']",['TACTIC'],,3,,,Give a friendly unit +3/+3 for this phase.|Give another friendly unit +2/+2 for this phase.|Give a third friendly unit +1/+1 for this phase.,,,False,,https://cdn.swu-db.com/images/cards/SOR/106.png,Uncommon,0.18,106
sor,195,Auzituck Liberator Gunship,,1,Unit,"['Cunning', 'Heroism']","['VEHICLE', 'FIGHTER']",['Space'],4,3,4,"Ambush (After you play this unit, it may ready and attack an enemy unit.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/195.png,Common,0.06,195
sor,040,Avenger,Hunting Star Destroyer,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'VEHICLE', 'CAPITAL SHIP']",['Space'],9,8,8,When Played/On Attack: An opponent chooses a non-leader unit they control. Defeat that unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/040.png,Legendary,17.81,040
sor,094,Bail Organa,Rebel Councilor,1,Unit,"['Command', 'Heroism']","['REBEL', 'OFFICIAL']",['Ground'],1,1,2,Action [{exhaust}]: Give an Experience token to another friendly unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/094.png,Rare,0.38,094
sor,199,Bamboozle,,1,Event,"['Cunning', 'Heroism']",['TRICK'],,2,,,You may discard a Cunning card from your hand instead of paying this event's cost. Exhaust a unit and return each upgrade on it to its owner's hand.,,,False,,https://cdn.swu-db.com/images/cards/SOR/199.png,Uncommon,0.09,199
sor,095,Battlefield Marine,,1,Unit,"['Command', 'Heroism']","['REBEL', 'TROOPER']",['Ground'],2,3,3,,,,False,,https://cdn.swu-db.com/images/cards/SOR/095.png,Common,0.10,095
sor,065,Baze Malbus,Temple Guardian,1,Unit,['Vigilance'],['FRINGE'],['Ground'],4,2,5,"GRIT (This unit gets +1/+0 for each damage on him.)|While you have the initiative, this unit gains SENTINEL. (Units in this arena can't attack your non-Sentinel units or your base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/065.png,Uncommon,0.13,065
sor,056,Bendu,The One in the Middle,1,Unit,"['Vigilance', 'Vigilance']","['FORCE', 'CREATURE']",['Ground'],6,4,7,"SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.) |On Attack: The next non-Heroism, non-Villainy card you play this phase costs 2 less.",,,False,,https://cdn.swu-db.com/images/cards/SOR/056.png,Rare,0.26,056
sor,156,"Benthic ""Two Tubes""",Partisan Lieutenant,1,Unit,['Aggression'],"['REBEL', 'TROOPER']",['Ground'],1,2,2,On Attack: Another friendly Aggression unit gains RAID 2 for this phase. (it gets +2/+0 while attacking.),,,False,,https://cdn.swu-db.com/images/cards/SOR/156.png,Uncommon,0.32,156
sor,177,Bib Fortuna,Jabba's Majordomo,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'TWILEK']",['Ground'],2,1,3,"SHIELDED (When you play this unit, give him a Shield token.)|Action [{exhaust}]: Play an event from your hand. It costs 1 less.",,,False,,https://cdn.swu-db.com/images/cards/SOR/177.png,Uncommon,0.13,177
