set,number,name,subtitle,count,type,aspects,traits,arenas,cost,power,hp,fronttext,backtext,epicaction,doublesided,backart,frontart,rarity,marketprice,karabast_number
sor,324,2-1B Surgical Droid,,1,Unit,['Vigilance'],['DROID'],['Ground'],1,1,3,On Attack: You may heal 2 damage from another unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/324.png,Common,0.16,059
sor,382,97th Legion,Keeping the Peace on Sullust,1,Unit,['Command'],"['IMPERIAL', 'TROOPER']",['Ground'],7,0,0,This unit gets +1/+1 for each resource you control.,,,False,,https://cdn.swu-db.com/images/cards/SOR/382.png,Uncommon,0.60,118
sor,305,AT-AT Suppressor,,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'VEHICLE', 'WALKER']",['Ground'],8,8,8,When Played: Exhaust all ground units.,,,False,,https://cdn.swu-db.com/images/cards/SOR/305.png,Uncommon,0.66,039
sor,493,AT-ST,,1,Unit,['Villainy'],"['IMPERIAL', 'VEHICLE', 'WALKER']",['Ground'],6,6,7,"Overwhelm (When attacking an enemy unit, deal excess damage to the opponent's base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/493.png,Common,0.32,232
sor,303,Academy Defense Walker,,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'VEHICLE', 'WALKER']",['Ground'],6,5,5,SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.) |When Played: Give an Experience token to each friendly damaged unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/303.png,Common,0.31,037
sor,384,Academy Training,,1,Upgrade,['Command'],['LEARNED'],,2,2,2,,,,False,,https://cdn.swu-db.com/images/cards/SOR/384.png,Common,0.15,120
sor,295,Administrator's Tower,Cloud City,1,Base,['Cunning'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/295.png,Common,0.47,029
sor,361,Admiral Ackbar,Brilliant Strategist,1,Unit,"['Command', 'Heroism']","['REBEL', 'OFFICIAL']",['Ground'],3,1,4,"Restore 1 (When this unit attacks, heal 1 damage from your base.)|When Played: You may deal damage to a unit equal to the number of units you control in its arena.",,,False,,https://cdn.swu-db.com/images/cards/SOR/361.png,Rare,7.31,097
sor,393,Admiral Ozzel,Overconfident,1,Unit,"['Aggression', 'Villainy']","['IMPERIAL', 'OFFICIAL']",['Ground'],2,2,3,Action [{exhaust}]: Play an IMPERIAL unit from your hand (paying its cost). It enters play ready. Each opponent may ready a unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/393.png,Uncommon,0.60,129
sor,344,Admiral Piett,Captain of the Executor,1,Unit,"['Command', 'Villainy']","['IMPERIAL', 'OFFICIAL']",['Ground'],2,1,4,"Each friendly non-leader unit that costs 6 or more gains AMBUSH. (After you play that unit, it may ready and attack an enemy unit.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/344.png,Uncommon,1.42,079
sor,379,Agent Kallus,Seeking the Rebels,1,Unit,['Command'],"['IMPERIAL', 'TROOPER']",['Ground'],5,4,4,"AMBUSH (After you play this unit, he may ready and attack an enemy unit.)|When another unique unit is defeated: You may draw a card. Use this ability only once each round.",,,False,,https://cdn.swu-db.com/images/cards/SOR/379.png,Rare,2.36,115
sor,418,Aggression,,1,Event,"['Aggression', 'Aggression']",['INNATE'],,4,,,"Choose two, in any order:|Draw a card.|Defeat up to 2 upgrades.|Ready a unit with 3 or less power.|Deal 4 damage to a unit.",,,False,,https://cdn.swu-db.com/images/cards/SOR/418.png,Legendary,20.65,155
sor,357,Alliance Dispatcher,,1,Unit,"['Command', 'Heroism']",['REBEL'],['Ground'],1,1,2,Action [{exhaust}]: Play a unit from your hand. It costs 1 less.,,,False,,https://cdn.swu-db.com/images/cards/SOR/357.png,Common,0.24,093
sor,496,Alliance X-Wing,,1,Unit,['Heroism'],"['REBEL', 'VEHICLE', 'FIGHTER']",['Space'],2,2,3,,,,False,,https://cdn.swu-db.com/images/cards/SOR/496.png,Common,0.48,237
sor,424,Ardent Sympathizer,,1,Unit,['Aggression'],['TROOPER'],['Ground'],3,3,3,"While you have the initiative, this unit gets +2/+0.",,,False,,https://cdn.swu-db.com/images/cards/SOR/424.png,Common,0.16,161
sor,480,Asteroid Sanctuary,,1,Event,['Cunning'],['TRICK'],,2,,,Exhaust an enemy unit.|Give a Shield token to a friendly unit that costs 3 or less.,,,False,,https://cdn.swu-db.com/images/cards/SOR/480.png,Common,0.37,218
sor,370,Attack Pattern Delta,,1,Event,"['Command', 'Command']",['TACTIC'],,3,,,Give a friendly unit +3/+3 for this phase.|Give another friendly unit +2/+2 for this phase.|Give a third friendly unit +1/+1 for this phase.,,,False,,https://cdn.swu-db.com/images/cards/SOR/370.png,Uncommon,0.48,106
sor,457,Auzituck Liberator Gunship,,1,Unit,"['Cunning', 'Heroism']","['VEHICLE', 'FIGHTER']",['Space'],4,3,4,"Ambush (After you play this unit, it may ready and attack an enemy unit.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/457.png,Common,0.30,195
sor,306,Avenger,Hunting Star Destroyer,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'VEHICLE', 'CAPITAL SHIP']",['Space'],9,8,8,When Played/On Attack: An opponent chooses a non-leader unit they control. Defeat that unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/306.png,Legendary,28.37,040
sor,358,Bail Organa,Rebel Councilor,1,Unit,"['Command', 'Heroism']","['REBEL', 'OFFICIAL']",['Ground'],1,1,2,Action [{exhaust}]: Give an Experience token to another friendly unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/358.png,Rare,2.52,094
sor,461,Bamboozle,,1,Event,"['Cunning', 'Heroism']",['TRICK'],,2,,,You may discard a Cunning card from your hand instead of paying this event's cost. Exhaust a unit and return each upgrade on it to its owner's hand.,,,False,,https://cdn.swu-db.com/images/cards/SOR/461.png,Uncommon,0.88,199
sor,359,Battlefield Marine,,1,Unit,"['Command', 'Heroism']","['REBEL', 'TROOPER']",['Ground'],2,3,3,,,,False,,https://cdn.swu-db.com/images/cards/SOR/359.png,Common,0.56,095
sor,330,Baze Malbus,Temple Guardian,1,Unit,['Vigilance'],['FRINGE'],['Ground'],4,2,5,"GRIT (This unit gets +1/+0 for each damage on him.)|While you have the initiative, this unit gains SENTINEL. (Units in this arena can't attack your non-Sentinel units or your base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/330.png,Uncommon,0.76,065
sor,321,Bendu,The One in the Middle,1,Unit,"['Vigilance', 'Vigilance']","['FORCE', 'CREATURE']",['Ground'],6,4,7,"SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.) |On Attack: The next non-Heroism, non-Villainy card you play this phase costs 2 less.",,,False,,https://cdn.swu-db.com/images/cards/SOR/321.png,Rare,2.09,056
sor,419,"Benthic ""Two Tubes""",Partisan Lieutenant,1,Unit,['Aggression'],"['REBEL', 'TROOPER']",['Ground'],1,2,2,On Attack: Another friendly Aggression unit gains RAID 2 for this phase. (it gets +2/+0 while attacking.),,,False,,https://cdn.swu-db.com/images/cards/SOR/419.png,Uncommon,2.05,156
sor,440,Bib Fortuna,Jabba's Majordomo,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'TWILEK']",['Ground'],2,1,3,"SHIELDED (When you play this unit, give him a Shield token.)|Action [{exhaust}]: Play an event from your hand. It costs 1 less.",,,False,,https://cdn.swu-db.com/images/cards/SOR/440.png,Uncommon,0.95,177
sor,410,Black One,Scourge of Starkiller Base,1,Unit,"['Aggression', 'Heroism']","['RESISTANCE', 'VEHICLE', 'FIGHTER']",['Space'],6,4,4,"When Played/When Defeated: You may discard your hand. If you do, draw 3 cards.",,,False,,https://cdn.swu-db.com/images/cards/SOR/410.png,Legendary,3.91,147
sor,352,Blizzard Assault AT-AT,,1,Unit,"['Command', 'Villainy']","['IMPERIAL', 'VEHICLE', 'WALKER']",['Ground'],8,9,9,When this unit attacks and defeats a unit: You may deal the excess damage from this attack to an enemy ground unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/352.png,Uncommon,0.52,088
